Timestamp;Latitude;Longitude;Bearing;Altitude;Speed (km/h);Location accuracy (in meters);Value X;Value Y;Value Z
2020-03-04 18:47:29;62.24469466;25.75871452;309.0;123.0;1.4128695;9.0;2.1164744;5.8801594;12.354081
2020-03-04 18:47:30;62.24469466;25.75871452;309.0;123.0;1.4128695;9.0;4.7309427;5.046977;9.892841
2020-03-04 18:47:30;62.24469466;25.75871452;309.0;123.0;1.4128695;9.0;7.3549876;3.016694;4.5872903
2020-03-04 18:47:31;62.24469466;25.75871452;309.0;123.0;1.4128695;9.0;8.599973;2.3175871;3.2944214
2020-03-04 18:47:31;62.24470271;25.7586776;290.3;123.0;1.2332072;7.0;4.0222588;0.39264908;2.8634653
2020-03-04 18:47:32;62.24470271;25.7586776;290.3;123.0;1.2332072;7.0;13.129802;1.1875241;6.7612257
2020-03-04 18:47:32;62.24470657;25.75865559;290.4;124.0;1.2258874;9.0;2.5570073;0.49799395;3.514688
2020-03-04 18:47:33;62.24470657;25.75865559;290.4;124.0;1.2258874;9.0;4.5298295;-3.3039982;7.0102224
2020-03-04 18:47:33;62.24470657;25.75865559;290.4;124.0;1.2258874;9.0;1.3694834;-6.742072;2.6240451
2020-03-04 18:47:34;62.24470657;25.75865559;290.4;124.0;1.2258874;9.0;15.016433;-2.2122424;3.016694
2020-03-04 18:47:34;62.24474488;25.75862742;314.0;122.0;1.2826535;6.0;12.497733;-1.1013328;-3.6870706
2020-03-04 18:47:35;62.24475281;25.75860993;314.1;123.0;1.2688972;7.0;17.209522;-6.157887;-0.45968673
2020-03-04 18:47:35;62.24475281;25.75860993;314.1;123.0;1.2688972;7.0;8.810662;-7.4986396;1.2066777
2020-03-04 18:47:36;62.24475281;25.75860993;314.1;123.0;1.2688972;7.0;2.3942018;-2.4516625;0.24899697
2020-03-04 18:47:36;62.24475281;25.75860993;314.1;123.0;1.2688972;7.0;5.755661;-3.122039;2.183512
2020-03-04 18:47:37;62.24478592;25.75857032;347.4;123.0;1.401285;5.0;0.48841715;-2.1260512;0.8714894
2020-03-04 18:47:37;62.24478592;25.75857032;347.4;123.0;1.401285;5.0;2.087744;-6.157887;-0.12449849
2020-03-04 18:47:38;62.24479821;25.7585644;347.4;123.0;1.4005713;6.0;2.2218192;-3.5338416;-2.882619
2020-03-04 18:47:38;62.24479821;25.7585644;347.4;123.0;1.4005713;6.0;4.2425256;-7.393295;1.7525556
2020-03-04 18:47:39;62.24481048;25.75855847;347.3;123.0;1.4001428;8.0;2.6431987;-12.401965;-6.1770406
2020-03-04 18:47:39;62.24481048;25.75855847;347.3;123.0;1.4001428;8.0;6.9719152;-26.020184;5.899313
